web-scraper-order,web-scraper-start-url,country,imports_from_china,FDI from China,cfr_index_of_debt_to_china,data_begins,corridor,year,continent
1572780273-48,https://www.cfr.org/article/belt-and-road-tracker,Romania,1.8% of GDP,0.1% of inward FDI,0.1% of GDP,Data begins in 2000,Corridor: New Eurasian Land Bridge,2017,Europe
1572780273-47,https://www.cfr.org/article/belt-and-road-tracker,Qatar,1.0% of GDP,No data,No data,Data begins in 2000,Corridor: China-Central Asia-West Asia,2017,Middle-East
1572780273-43,https://www.cfr.org/article/belt-and-road-tracker,Pakistan,6.0% of GDP,7.0% of inward FDI,6.9% of GDP,Data begins in 2000,Corridor: China-Pakistan,2017,Asia
1572780273-42,https://www.cfr.org/article/belt-and-road-tracker,Oman,3.3% of GDP,No data,No data,Data begins in 2000,Corridor: China-Central Asia-West Asia,2017,Middle-East
1572780273-3,https://www.cfr.org/article/belt-and-road-tracker,Azerbaijan,1.0% of GDP,No data,1.2% of GDP,Data begins in 2000,Corridor: New Eurasian Land Bridge,2017,Asia
1572780273-18,https://www.cfr.org/article/belt-and-road-tracker,Ethiopia,3.5% of GDP,No data,17.2% of GDP,Data begins in 2000,Corridor: Maritime,2017,Africa
1572780273-60,https://www.cfr.org/article/belt-and-road-tracker,Turkmenistan,1.0% of GDP,No data,16.9% of GDP,Data begins in 2000,Corridor: China-Central Asia-West Asia,2017,Asia
1572780273-32,https://www.cfr.org/article/belt-and-road-tracker,Lebanon,3.8% of GDP,No data,0.1% of GDP,Data begins in 2000,Corridor: China-Central Asia-West Asia,2017,Middle-East
1572780273-62,https://www.cfr.org/article/belt-and-road-tracker,United Arab Emirates,7.6% of GDP,No data,0.6% of GDP,Data begins in 2000,Corridor: China-Central Asia-West Asia,2017,Middle-East
1572780273-2,https://www.cfr.org/article/belt-and-road-tracker,Austria,0.6% of GDP,No data,0.0% of GDP,Data begins in 2000,Corridor: New Eurasian Land Bridge,2017,Europe
1572780273-14,https://www.cfr.org/article/belt-and-road-tracker,Djibouti,108.4% of GDP,No data,79.2% of GDP,Data begins in 2000,Corridor: Maritime,2017,Africa
1572780273-65,https://www.cfr.org/article/belt-and-road-tracker,Yemen,3.5% of GDP,No data,0.3% of GDP,Data begins in 2000,Corridor: China-Central Asia-West Asia,2017,Middle-East
1572780273-63,https://www.cfr.org/article/belt-and-road-tracker,Uzbekistan,5.6% of GDP,No data,7.1% of GDP,Data begins in 2000,Corridor: China-Central Asia-West Asia,2017,Asia
1572780273-40,https://www.cfr.org/article/belt-and-road-tracker,Nepal,3.9% of GDP,9.4% of inward FDI,2.6% of GDP,Data begins in 2000,Corridor: China-Indochina Peninsula,2017,Asia
1572780273-41,https://www.cfr.org/article/belt-and-road-tracker,New Zealand,2.7% of GDP,1.1% of inward FDI,0.3% of GDP,Data begins in 2000,Corridor: Maritime,2017,Oceania
1572780273-21,https://www.cfr.org/article/belt-and-road-tracker,India,2.6% of GDP,0.1% of inward FDI,0.1% of GDP,Data begins in 2000,Corridor: Bangladesh-China-India-Myanmar,2017,Asia
1572780273-16,https://www.cfr.org/article/belt-and-road-tracker,Egypt,4.9% of GDP,No data,2.8% of GDP,Data begins in 2000,Corridor: Maritime,2017,Middle-East
1572780273-35,https://www.cfr.org/article/belt-and-road-tracker,Malaysia,13.4% of GDP,2.7% of inward FDI,0.2% of GDP,Data begins in 2000,Corridor: China-Indochina Peninsula,2017,Asia
1572780273-53,https://www.cfr.org/article/belt-and-road-tracker,Slovakia,2.9% of GDP,No data,0.0% of GDP,Data begins in 2000,Corridor: New Eurasian Land Bridge,2017,Europe
1572780273-9,https://www.cfr.org/article/belt-and-road-tracker,Brunei,5.4% of GDP,No data,No data,Data begins in 2000,Corridor: China-Indochina Peninsula,2017,Asia
1572780273-25,https://www.cfr.org/article/belt-and-road-tracker,Israel,2.6% of GDP,2.8% of inward FDI,No data,Data begins in 2000,Corridor: China-Central Asia-West Asia,2017,Middle-East
1572780273-55,https://www.cfr.org/article/belt-and-road-tracker,South Africa,4.3% of GDP,4.7% of inward FDI,4.1% of GDP,Data begins in 2000,Corridor: Maritime,2017,Africa
1572780273-4,https://www.cfr.org/article/belt-and-road-tracker,Bahrain,2.6% of GDP,0.0% of inward FDI,No data,Data begins in 2000,Corridor: China-Central Asia-West Asia,2017,Middle-East
1572780273-45,https://www.cfr.org/article/belt-and-road-tracker,Philippines,10.3% of GDP,0.1% of inward FDI,0.2% of GDP,Data begins in 2000,Corridor: China-Indochina Peninsula,2017,Asia
1572780273-17,https://www.cfr.org/article/belt-and-road-tracker,Estonia,3.7% of GDP,0.1% of inward FDI,No data,Data begins in 2000,Corridor: New Eurasian Land Bridge,2017,Europe
1572780273-1,https://www.cfr.org/article/belt-and-road-tracker,Armenia,1.2% of GDP,0.1% of inward FDI,0.3% of GDP,Data begins in 2000,Corridor: China-Central Asia-West Asia,2017,Europe
1572780273-23,https://www.cfr.org/article/belt-and-road-tracker,Iran,8.4% of GDP,No data,2.1% of GDP,Data begins in 2000,Corridor: China-Central Asia-West Asia,2017,Middle-East
